"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"5FU_24","5FU","24h",24157,-0.781733429861629,5.39491571115698e-24,8.37074661622374e-23
"5FU_24","5FU","24h",24165,-0.968845700420829,6.74089190043922e-13,3.82632374099034e-12
"5FU_24","5FU","24h",24167,-1.43317478971723,1.60633483504582e-27,3.25154341992446e-26
"5FU_24","5FU","24h",24173,-1.22443150119987,7.51926416823095e-40,3.7998392605706e-38
"5FU_24","5FU","24h",24180,-1.92814667879018,1.63714832457741e-12,9.00833902302445e-12
"5FU_24","5FU","24h",24188,-1.24880808014421,5.36841635420807e-08,1.85102894146279e-07
"5FU_24","5FU","24h",24191,-0.606439638183736,2.28873123354313e-12,1.24199084164753e-11
"5FU_24","5FU","24h",24212,-0.877014010202466,5.952778091264e-12,3.08425533429179e-11
"5FU_24","5FU","24h",24213,-0.536206935067414,0.000688869574301701,0.00142919569271375
"5FU_24","5FU","24h",24218,-1.1906844263923,2.30775663858699e-23,3.39606573488322e-22
"5FU_24","5FU","24h",24224,-0.443025003833498,0.000567916659915344,0.00119460313172538
"5FU_24","5FU","24h",24225,-0.876080038799765,0.000668571441129508,0.00138926167250127
"5FU_24","5FU","24h",24231,-0.587900924817946,1.26097122496102e-10,5.73684751737503e-10
"5FU_24","5FU","24h",24232,-0.85195249471856,1.53891496071576e-05,3.97116459898176e-05
"5FU_24","5FU","24h",24233,-1.8448758128902,1.23899773680882e-05,3.23276677330864e-05
"5FU_24","5FU","24h",24237,-1.62082613440015,2.23726616898496e-05,5.65494474182131e-05
"5FU_24","5FU","24h",24239,-1.01817555527912,4.72443858358941e-21,5.7061808419552e-20
"5FU_24","5FU","24h",24245,-0.487594882502831,0.00135477248214468,0.00268409456917149
"5FU_24","5FU","24h",24246,-0.502906415693356,4.20314959301224e-13,2.43715693931076e-12
"5FU_24","5FU","24h",24250,-0.876676936000122,0.0052072000119103,0.00937708351563258
"5FU_24","5FU","24h",24251,-0.610520403943859,5.64609057225943e-06,1.53824788821909e-05
"5FU_24","5FU","24h",24252,-0.66075700927488,1.45931328950704e-07,4.81715709128724e-07
"5FU_24","5FU","24h",24260,-0.824807872862534,0.0055249009144642,0.00990995907186492
"5FU_24","5FU","24h",24265,-0.254819311180538,0.00065819212924577,0.00136984530945845
"5FU_24","5FU","24h",24268,-0.949826506654431,2.22934217867092e-19,2.32920646578439e-18
"5FU_24","5FU","24h",24269,-4.51512190502399,1.50716620623697e-06,4.4188752952403e-06
"5FU_24","5FU","24h",24307,-2.85940336681829,3.49328028460929e-25,5.93939267081818e-24
"5FU_24","5FU","24h",24316,-1.41890058189067,0.0011077432333352,0.00223050567487002
"5FU_24","5FU","24h",24323,-1.51057971259576,1.19304503188598e-05,3.12238399461761e-05
"5FU_24","5FU","24h",24326,-1.40799406252455,1.21204591901719e-57,1.66416191560153e-55
"5FU_24","5FU","24h",24329,-0.843267815585799,8.94051003060533e-15,6.13774448044481e-14
"5FU_24","5FU","24h",24331,-4.10936341054653,3.88632979642552e-05,9.49339440368866e-05
"5FU_24","5FU","24h",24338,-1.83153331399354,1.03816890346546e-30,2.68374959521072e-29
"5FU_24","5FU","24h",24356,-1.1249740575641,4.85729414838046e-28,1.02453708747144e-26
"5FU_24","5FU","24h",24360,-1.74933950269111,2.8291543001344e-11,1.37023333391534e-10
"5FU_24","5FU","24h",24361,-0.881305097032791,1.31785990281056e-11,6.57754904852704e-11
"5FU_24","5FU","24h",24382,-0.416367198526707,5.44282564949973e-10,2.31690214983384e-09
"5FU_24","5FU","24h",24387,-2.04607041540644,5.73980103078982e-12,2.97814845640339e-11
