"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"Ace_6","Ace","6h",690032,-0.528499885349724,7.45040659044817e-10,9.66427963613036e-09
"Ace_6","Ace","6h",690038,-0.304982077448567,5.59161425905061e-05,0.000276240169471224
"Ace_6","Ace","6h",690209,-0.609469436825141,0.000768147457437362,0.00280683356654365
"Ace_6","Ace","6h",690214,-0.216062366817499,0.00240537357600317,0.00769233289939577
"Ace_6","Ace","6h",690285,-0.230831509040747,0.000611122554881533,0.002301831693516
"Ace_6","Ace","6h",690297,-0.243955447968647,1.92692630248713e-05,0.000105272092366358
"Ace_6","Ace","6h",690354,-0.230952894672698,0.00100680087347917,0.0035829156700956
"Ace_6","Ace","6h",690358,-0.360783556064396,0.000637677442031273,0.00239009979173916
"Ace_6","Ace","6h",690374,-0.406289931978018,1.37076809609781e-10,2.05037604014466e-09
"Ace_6","Ace","6h",690489,-0.891078534579684,5.39566230283683e-13,1.20074111858543e-11
"Ace_6","Ace","6h",690492,-1.11267471315737,0.000404407099311064,0.00159505174075155
"Ace_6","Ace","6h",690586,-0.249119545068005,1.2306210882189e-08,1.27567374059387e-07
"Ace_6","Ace","6h",690657,-0.490482262348184,0.00269829956851699,0.00847820637309937
"Ace_6","Ace","6h",690825,-0.4503413191569,0.000155432514769284,0.000685089285267158
"Ace_6","Ace","6h",690845,-0.248345255436322,0.00137698019167248,0.00472688973051052
"Ace_6","Ace","6h",690899,-1.26262546060987,2.50771333690903e-23,2.17245594674845e-21
"Ace_6","Ace","6h",690976,-0.643384542965656,9.94422161702163e-11,1.52506007812574e-09
"Ace_6","Ace","6h",691307,-0.398301964798264,2.21980108659681e-05,0.000119566931955329
"Ace_6","Ace","6h",691380,-0.757520050157223,0.000560384131027755,0.00213057226828055
"Ace_6","Ace","6h",691394,-0.201431342314366,0.00132725328784905,0.00457311656045337
"Ace_6","Ace","6h",691418,-0.632902477702374,0.000339142153037345,0.00136312479848261
"Ace_6","Ace","6h",691485,-0.847162538364571,2.28060798265363e-07,1.84349353738788e-06
"Ace_6","Ace","6h",691657,-0.30676864366703,0.00225258216232951,0.00726919751453298
"Ace_6","Ace","6h",691750,-0.53182452268177,9.20258265389108e-05,0.000431211809223216
"Ace_6","Ace","6h",691774,-0.447139934337924,0.000138401673424424,0.00061750397149573
"Ace_6","Ace","6h",691853,-0.37101076156259,1.43687303947405e-13,3.48537503608421e-12
"Ace_6","Ace","6h",691995,-0.407680918332184,0.00013215828285862,0.0005929197437498
"Ace_6","Ace","6h",751787,-0.345031828205641,1.19815159958521e-07,1.01856883062868e-06
"Ace_6","Ace","6h",100049583,-0.413688670568242,4.47903794668449e-07,3.42373520357385e-06
"Ace_6","Ace","6h",100147704,-1.08949898956474,8.84456348516043e-15,2.59001563305885e-13
"Ace_6","Ace","6h",100310874,-0.504665440961966,0.00043794909928015,0.00171111709823444
"Ace_6","Ace","6h",100359865,-1.03899995980638,2.22791081734388e-08,2.18792267446848e-07
"Ace_6","Ace","6h",100360041,-1.35450347839054,1.18695342797582e-06,8.30125910175882e-06
"Ace_6","Ace","6h",100360334,-0.287593580254169,0.000126770844941722,0.00057086103876294
"Ace_6","Ace","6h",100360501,-0.25662712956549,5.20912451042239e-07,3.91473490869519e-06
"Ace_6","Ace","6h",100360582,-0.548013992298998,1.35400817685919e-09,1.65459571838864e-08
"Ace_6","Ace","6h",100361025,-0.278117366453259,0.00106196601426347,0.00375233148132814
"Ace_6","Ace","6h",100361234,-0.834437100258081,1.43855686784159e-19,8.34133731257632e-18
"Ace_6","Ace","6h",100361269,-0.258526253250205,0.00258945220581222,0.00819636524649652
"Ace_6","Ace","6h",100361376,-0.188723039165028,0.000127109662172378,0.000572032783938403
"Ace_6","Ace","6h",100361383,-0.508135653736281,0.00132550301468938,0.00456924937844369
"Ace_6","Ace","6h",100361444,-1.31539585640637,0.000542314639836822,0.00207052656563093
"Ace_6","Ace","6h",100361733,-0.309513428285533,0.000222299884815018,0.000936968584882067
"Ace_6","Ace","6h",100361898,-0.303618018978647,7.14177089475633e-05,0.000344633068973089
"Ace_6","Ace","6h",100361923,-0.80188885549689,0.00154022786904526,0.00521313404792666
"Ace_6","Ace","6h",100362120,-0.864563513572983,1.33836254988286e-07,1.1303964955422e-06
"Ace_6","Ace","6h",100362176,-0.742257671681997,1.00604991973819e-07,8.7051430034897e-07
"Ace_6","Ace","6h",100362241,-1.17426260120186,2.1252943799797e-10,3.03369574118709e-09
"Ace_6","Ace","6h",100362321,-0.196601202072729,0.000317973042883832,0.00128549435170314
"Ace_6","Ace","6h",100362346,-0.561275400828111,7.21877398645468e-27,9.63871895402398e-25
"Ace_6","Ace","6h",100362676,-1.36835188755864,2.83977906855771e-16,1.0358432221501e-14
"Ace_6","Ace","6h",100362783,-0.341244935539236,0.000269710358846624,0.00111074266062642
"Ace_6","Ace","6h",100362785,-0.566896756893423,0.00223310169118974,0.00721913860807986
"Ace_6","Ace","6h",100363074,-0.468075490870937,3.80830106739099e-06,2.40956519219109e-05
"Ace_6","Ace","6h",100363275,-0.381335319228865,0.000468461636006458,0.00181958650932426
"Ace_6","Ace","6h",100363276,-0.719411006017234,4.72087810946896e-13,1.06523503884049e-11
"Ace_6","Ace","6h",100364016,-0.968659022535138,2.44534043889612e-19,1.37943739332148e-17
"Ace_6","Ace","6h",100364568,-0.261744322272415,0.000853787623346546,0.00309335948971512
"Ace_6","Ace","6h",100365370,-0.270117563541707,0.000654402859793442,0.00244706853364619
"Ace_6","Ace","6h",100365744,-0.303413428163186,0.000137118076571956,0.000612528080548879
"Ace_6","Ace","6h",100909595,-0.70282385500367,1.01831287116363e-07,8.79034728761293e-07
"Ace_6","Ace","6h",100909725,-0.693720622481853,8.60080759867982e-12,1.58651652460312e-10
"Ace_6","Ace","6h",100909750,-0.155317059196152,0.00300827862876251,0.00933528510938372
"Ace_6","Ace","6h",100909752,-0.541287123709182,2.65185782790173e-05,0.000140448103447168
"Ace_6","Ace","6h",100909983,-0.22300536367258,0.0017461509059337,0.00582024179328243
"Ace_6","Ace","6h",100910163,-0.626773745686111,0.000265022519131402,0.0010929832086819
"Ace_6","Ace","6h",100910536,-1.34476745737626,6.14161014779643e-05,0.000300655883252705
"Ace_6","Ace","6h",100910669,-0.993123939559249,1.71256311808628e-06,1.16144658064435e-05
"Ace_6","Ace","6h",100910790,-1.12534111224994,1.07940451895333e-14,3.10467457882348e-13
"Ace_6","Ace","6h",100910795,-0.183566209157491,0.00277206663229388,0.00868000382237633
"Ace_6","Ace","6h",100911041,-0.722108627620524,2.66283122715242e-06,1.74414246984592e-05
"Ace_6","Ace","6h",100911068,-0.85070617657288,3.62378854981093e-06,2.3030837796484e-05
"Ace_6","Ace","6h",100911101,-0.962424878895123,2.65759953084068e-10,3.7406869992123e-09
"Ace_6","Ace","6h",100911486,-0.659025904275975,0.000394578518349912,0.00156281578328977
"Ace_6","Ace","6h",100911562,-0.426235056199705,0.00147443858092717,0.00502081869602573
"Ace_6","Ace","6h",100911597,-0.349485362167596,2.58177808652008e-05,0.000137035734030683
"Ace_6","Ace","6h",100911685,-0.154864586657871,3.78904104577892e-06,2.39868218269972e-05
"Ace_6","Ace","6h",100911692,-0.783279254009467,1.10683929746767e-12,2.3482418564642e-11
"Ace_6","Ace","6h",100911721,-0.428090207878566,3.07496411577219e-06,1.98725700448261e-05
"Ace_6","Ace","6h",100911794,-0.547485820318416,7.96602629763408e-05,0.000379359475331106
"Ace_6","Ace","6h",100911911,-0.66771320018227,0.000107729005088357,0.000493978557043461
"Ace_6","Ace","6h",100912012,-0.640676989602507,0.000174719864370237,0.000760814438105402
"Ace_6","Ace","6h",100912030,-0.298617395556929,1.49058913398234e-05,8.36315892674594e-05
"Ace_6","Ace","6h",100912108,-0.652711771654861,6.59928541822386e-08,5.94344059262562e-07
"Ace_6","Ace","6h",100912447,-0.660679431891891,2.85619563683182e-14,7.75542374971087e-13
"Ace_6","Ace","6h",100912521,-0.763250654357387,3.44883611610497e-05,0.000178057328250414
"Ace_6","Ace","6h",100912618,-0.138442540987086,0.000172503490171265,0.000752305898160079
"Ace_6","Ace","6h",102546678,-0.695635548483006,0.000899278953356606,0.00324043225727953
"Ace_6","Ace","6h",102546764,-0.307487070466743,0.00193316205197724,0.00637120482438331
"Ace_6","Ace","6h",102548286,-0.269529995408607,8.08842668954961e-06,4.78726970474603e-05
"Ace_6","Ace","6h",102548695,-0.356266408268387,0.000682303366749849,0.00253775701499548
"Ace_6","Ace","6h",102549542,-0.429477944600517,0.000123908880423013,0.000559705104182661
"Ace_6","Ace","6h",102550385,-0.43808420779792,6.19182221216559e-07,4.60009088697591e-06
"Ace_6","Ace","6h",102550456,-0.190812929214987,0.0019075651643356,0.00629539759676652
"Ace_6","Ace","6h",102552640,-0.595152438489013,3.92715101075732e-15,1.21607991086302e-13
"Ace_6","Ace","6h",102553119,-0.34904638259573,0.00170930651396595,0.00571365342311906
"Ace_6","Ace","6h",102553715,-0.656067195376799,0.000582126761862212,0.002204123133008
"Ace_6","Ace","6h",102553763,-0.171251209635166,0.00089526411711098,0.00322756352747912
"Ace_6","Ace","6h",102554658,-1.16740271196799,0.001684689341457,0.00563784057842382
"Ace_6","Ace","6h",102556096,-1.31725422392288,0.000482828086519557,0.00186840733081777
"Ace_6","Ace","6h",103689947,-0.358059587885497,0.00100139463876517,0.00356775950369357
"Ace_6","Ace","6h",103689949,-0.373864014104484,2.08907194679139e-07,1.70427988304943e-06
"Ace_6","Ace","6h",103690016,-1.98079855344985,0.00188881938345764,0.00623777565392386
"Ace_6","Ace","6h",103690022,-0.232962640063113,0.00286392535231392,0.00893495596518258
"Ace_6","Ace","6h",103690023,-0.86590147090366,0.000453262666862527,0.0017629034883798
"Ace_6","Ace","6h",103690027,-1.16904297246251,9.24385954467139e-11,1.43122480652284e-09
"Ace_6","Ace","6h",103690141,-0.626959791311711,9.89501051060539e-07,7.03183510602299e-06
"Ace_6","Ace","6h",103690203,-0.226628828415398,0.00210484560525174,0.00686397556326101
"Ace_6","Ace","6h",103691134,-0.788785529482272,0.000632187135965976,0.00237135349918784
"Ace_6","Ace","6h",103691699,-1.03094605398772,0.00056762038412232,0.00215583169898649
"Ace_6","Ace","6h",103692165,-0.724542709912124,7.06538666625209e-31,1.40790494034791e-28
"Ace_6","Ace","6h",103692368,-0.751105708549271,4.9261653606236e-09,5.50655995841136e-08
"Ace_6","Ace","6h",103692719,-0.443037581807131,9.28231926218153e-05,0.000434249034206975
"Ace_6","Ace","6h",103693432,-0.25077416239857,0.000631311274608051,0.0023692893993413
"Ace_6","Ace","6h",103694864,-0.508688075501231,0.000528710569073933,0.00202442873514918
"Ace_6","Ace","6h",103694874,-0.444538866874143,1.39968436008016e-05,7.90799929216098e-05
