"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"5FU_24","5FU","24h",311422,0.753446785529914,1.64325765678046e-44,1.08708963349013e-42
"5FU_24","5FU","24h",311423,1.17026034903322,7.00561110712462e-09,2.64761527014001e-08
"5FU_24","5FU","24h",311430,0.453835153189261,1.28828604698244e-14,8.72891765725442e-14
"5FU_24","5FU","24h",311530,0.456316909069549,2.69646487209888e-09,1.06123174008997e-08
"5FU_24","5FU","24h",311535,1.51600311016195,3.94086517991505e-15,2.80192241467922e-14
"5FU_24","5FU","24h",311546,0.24447101818287,0.00536281294184846,0.00963584932785957
"5FU_24","5FU","24h",311569,0.432568541150879,2.46027553814805e-23,3.6095615103031e-22
"5FU_24","5FU","24h",311573,0.400633598876893,1.45698322614984e-06,4.27863879608247e-06
"5FU_24","5FU","24h",311591,0.258717716588321,4.53227472012198e-06,1.25047822325413e-05
"5FU_24","5FU","24h",311617,0.689453930231736,2.01013982974632e-23,2.9822196821741e-22
"5FU_24","5FU","24h",311621,0.714348059869279,3.83153297479529e-23,5.54315416651795e-22
"5FU_24","5FU","24h",311622,0.430958725463257,3.24709182833489e-17,2.81131317487127e-16
"5FU_24","5FU","24h",311651,0.317798457546463,5.33827336509035e-05,0.000128143213847147
"5FU_24","5FU","24h",311655,0.48267738402849,5.32625318965409e-10,2.26993525394511e-09
"5FU_24","5FU","24h",311670,0.240758726375339,1.82779044851954e-07,5.97119241027013e-07
"5FU_24","5FU","24h",311692,0.605918908135929,7.25141874739804e-13,4.10650383072495e-12
"5FU_24","5FU","24h",311703,0.599960013101655,1.58360422418756e-09,6.37206963749677e-09
"5FU_24","5FU","24h",311726,0.208823168347519,0.000610280004973711,0.0012756017797483
"5FU_24","5FU","24h",311730,0.633720154574468,1.94670667844825e-09,7.74955388351636e-09
"5FU_24","5FU","24h",311731,0.582616846236164,8.16995472960937e-17,6.82972551032366e-16
"5FU_24","5FU","24h",311786,0.433513830158727,2.23459397066081e-13,1.32786997679734e-12
"5FU_24","5FU","24h",311796,0.378384475813778,1.31949162467784e-18,1.28111281558114e-17
"5FU_24","5FU","24h",311797,1.00637589086595,4.1046947929564e-08,1.43363878129799e-07
"5FU_24","5FU","24h",311799,0.234253819268054,0.00143350160605417,0.00282852255619744
"5FU_24","5FU","24h",311800,0.403479869316821,5.01378512655225e-08,1.73615581089321e-07
"5FU_24","5FU","24h",311807,0.284170192589454,0.00237251866622812,0.0045231381540849
"5FU_24","5FU","24h",311826,0.755170851659677,3.27679954367561e-62,5.88772105662405e-60
