"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"Ace_24","Ace","24h",316035,0.312488689280011,2.06245112326098e-09,1.70527066513292e-08
"Ace_24","Ace","24h",316091,0.454457899828456,7.93241807019154e-09,6.01920816441958e-08
"Ace_24","Ace","24h",316108,0.203524600008455,0.00357931083817842,0.00954614072546247
"Ace_24","Ace","24h",316122,0.341472885890771,5.48791953476545e-08,3.6705505932434e-07
"Ace_24","Ace","24h",316129,1.4394266970145,5.26322935409887e-40,5.98445625152773e-38
"Ace_24","Ace","24h",316131,0.152392782331291,0.000397663465527032,0.00131986181922016
"Ace_24","Ace","24h",316136,0.188055371561451,0.000225425076378798,0.000788852262951917
"Ace_24","Ace","24h",316216,0.224374724051774,3.12112522279969e-05,0.000130568716564032
"Ace_24","Ace","24h",316221,0.465897113029472,1.86312205977057e-13,2.47859949340959e-12
"Ace_24","Ace","24h",316233,0.14771596912037,0.00345060674375485,0.00924183484516159
"Ace_24","Ace","24h",316235,0.915548858387646,7.0637697866002e-18,1.51631424003214e-16
"Ace_24","Ace","24h",316249,0.227905862127401,0.000206066985558624,0.000727936628111704
"Ace_24","Ace","24h",316256,0.332817779701278,0.000492171299039698,0.00160283309156942
"Ace_24","Ace","24h",316273,0.836234375485612,1.54116709111645e-15,2.623408870656e-14
"Ace_24","Ace","24h",316275,0.236960863461181,0.00147659835380005,0.00432925311063778
"Ace_24","Ace","24h",316317,0.157681408479987,0.00040557038510796,0.00134426585854276
"Ace_24","Ace","24h",316325,0.610549503804453,6.58720420857774e-34,4.96736632391919e-32
"Ace_24","Ace","24h",316344,0.293072755569288,0.000156093040325234,0.000566104686990643
"Ace_24","Ace","24h",316369,0.19116351660636,0.000290975847552715,0.000998317417558277
"Ace_24","Ace","24h",316400,0.489481624635389,2.91722443751806e-09,2.36136176104771e-08
"Ace_24","Ace","24h",316406,0.416654606184516,1.16506038681164e-07,7.41420588966183e-07
"Ace_24","Ace","24h",316412,0.368877096305555,5.65736927112764e-07,3.18150511483739e-06
"Ace_24","Ace","24h",316425,1.22859463562796,9.12991821888816e-15,1.43961895728817e-13
"Ace_24","Ace","24h",316452,0.342899857719134,0.000773240133496581,0.00241134281185113
"Ace_24","Ace","24h",316457,0.35326853122653,2.01660096141812e-08,1.44508175246082e-07
"Ace_24","Ace","24h",316533,0.460186774254037,1.51143904695326e-24,5.41809948013738e-23
"Ace_24","Ace","24h",316539,0.323181939431676,0.000154310949400954,0.000560060238798376
"Ace_24","Ace","24h",316602,0.584782236515615,5.78207258321964e-09,4.47618533915844e-08
"Ace_24","Ace","24h",316626,0.220571831944075,0.000486215293741121,0.00158450008623114
"Ace_24","Ace","24h",316639,0.32028514752042,6.95836613319767e-06,3.27635265941634e-05
"Ace_24","Ace","24h",316640,0.345274972081453,3.62219709702296e-10,3.29072762484845e-09
"Ace_24","Ace","24h",316732,0.269374847352353,6.20731752979105e-05,0.000245425969379459
"Ace_24","Ace","24h",316737,0.307706922177879,3.99237383268557e-06,1.96168159219804e-05
"Ace_24","Ace","24h",316764,0.254067294033332,0.00147400210691634,0.0043225119210277
"Ace_24","Ace","24h",316767,1.03032460389172,2.19053005551103e-26,9.57386619456684e-25
"Ace_24","Ace","24h",317203,0.474927566444327,0.00137541160080842,0.00406204148501741
"Ace_24","Ace","24h",317232,0.456546968164639,5.7150971206751e-07,3.21148739360252e-06
"Ace_24","Ace","24h",317252,1.57155438205615,1.04327136703484e-25,4.14857144148227e-24
"Ace_24","Ace","24h",317366,1.10834691611013,1.92019093960023e-25,7.45238904931781e-24
"Ace_24","Ace","24h",317370,0.294842255658033,2.63993348761503e-08,1.84896977761064e-07
"Ace_24","Ace","24h",317395,0.671519399763373,0.000278880956948117,0.00096158101099808
"Ace_24","Ace","24h",317396,0.310128120389563,4.87767908492161e-07,2.77412041430047e-06
"Ace_24","Ace","24h",317398,1.28048799952369,0.0022912963626618,0.00641298601195767
"Ace_24","Ace","24h",317423,0.519753760513116,2.48842012675746e-18,5.57176408074278e-17
"Ace_24","Ace","24h",317439,0.170969807229381,0.00178634527179799,0.00514210227170649
"Ace_24","Ace","24h",317464,0.138519360798181,0.00266639625611409,0.00734697673447265
"Ace_24","Ace","24h",317498,1.46809643541873,0.000119919553211044,0.000447400455635357
"Ace_24","Ace","24h",317508,0.318142825592565,5.33023968838441e-05,0.000213577657780051
"Ace_24","Ace","24h",317546,0.498777795142455,1.90389325660834e-05,8.27142162885904e-05
"Ace_24","Ace","24h",317589,0.589150177443805,0.000289122966142298,0.000992662337635056
"Ace_24","Ace","24h",317674,0.233950565233885,0.00268020840519938,0.00738084259778083
"Ace_24","Ace","24h",338474,0.401400778076723,5.63018999901158e-13,7.07004186761126e-12
"Ace_24","Ace","24h",353231,0.302893847277914,4.57900349948998e-11,4.57083792397648e-10
"Ace_24","Ace","24h",353302,1.25211497656787,6.16911672587149e-35,5.10143891070078e-33
