"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"Dox_6","Dox","6h",24158,0.412663070395044,1.05840103179835e-22,7.28320029162797e-22
"Dox_6","Dox","6h",24159,0.163838747950878,0.0016178347389969,0.00270954738680793
"Dox_6","Dox","6h",24161,0.186722715421975,0.00203506426411876,0.00335642550150508
"Dox_6","Dox","6h",24165,1.32820308127455,6.67991540823691e-48,1.3263231766914e-46
"Dox_6","Dox","6h",24174,1.41226224430284,3.78694577346287e-20,2.2709191918821e-19
"Dox_6","Dox","6h",24175,6.86444394065608,4.5540525915503e-17,2.2870835547765e-16
"Dox_6","Dox","6h",24176,1.16217718962853,5.31836065172999e-16,2.5139142879272e-15
"Dox_6","Dox","6h",24179,0.712499821401237,2.94974869227569e-06,6.58142610261848e-06
"Dox_6","Dox","6h",24189,0.406623054285255,4.93586833456526e-05,9.82582789512554e-05
"Dox_6","Dox","6h",24190,5.27565007759833,5.24050774493226e-09,1.4890735985893e-08
"Dox_6","Dox","6h",24191,0.615354075416463,2.61488630367747e-14,1.10470407151587e-13
"Dox_6","Dox","6h",24192,0.268724047093943,1.87129786641621e-05,3.88958428275086e-05
"Dox_6","Dox","6h",24206,0.30269497155317,1.12269917759525e-12,4.29993785018982e-12
"Dox_6","Dox","6h",24209,2.65455599472671,1.8471496887846e-22,1.25623441918557e-21
"Dox_6","Dox","6h",24212,0.454090155535777,0.000119265840468587,0.000228664871845582
"Dox_6","Dox","6h",24223,0.501075223768909,1.68044099661033e-21,1.07883274215557e-20
"Dox_6","Dox","6h",24225,0.826639443376768,2.12788197596946e-05,4.40215981211933e-05
"Dox_6","Dox","6h",24230,0.396535416573339,7.12884369354213e-13,2.76380370580214e-12
"Dox_6","Dox","6h",24231,0.347794957151134,3.76043071745751e-05,7.59180311581031e-05
"Dox_6","Dox","6h",24232,0.663627137466124,0.000431655386036576,0.000774814678423417
"Dox_6","Dox","6h",24236,2.85525044733343,9.43216698720274e-06,2.016092793828e-05
"Dox_6","Dox","6h",24240,0.437030755744964,1.16378057099337e-13,4.72986943039304e-13
"Dox_6","Dox","6h",24242,0.241844330757723,1.40576334759617e-06,3.22286881384814e-06
"Dox_6","Dox","6h",24247,1.11645078097711,0.00487693901170258,0.00765354435802452
"Dox_6","Dox","6h",24252,3.09623782377906,2.31005345081803e-207,1.60097704396217e-204
"Dox_6","Dox","6h",24254,1.52724847128362,0.000379808412124498,0.000686674736653408
"Dox_6","Dox","6h",24261,1.01346138206247,2.20477717961926e-16,1.05972018071924e-15
"Dox_6","Dox","6h",24264,0.551502802238038,4.59982391266477e-07,1.10108284909413e-06
"Dox_6","Dox","6h",24310,0.435248661607116,5.22023418322213e-05,0.000103607375293352
"Dox_6","Dox","6h",24311,0.374460055042804,1.50291061088864e-10,4.86290818827775e-10
"Dox_6","Dox","6h",24312,0.469370342605399,1.58828094155354e-12,6.01348616632939e-12
"Dox_6","Dox","6h",24330,0.97956775633942,2.84708259882017e-15,1.28524938409518e-14
"Dox_6","Dox","6h",24333,0.50007554820498,4.40610186795598e-07,1.05644821394121e-06
"Dox_6","Dox","6h",24334,1.11607612838797,0.000646145747330705,0.00113355896897916
"Dox_6","Dox","6h",24366,4.84036996291217,2.54802366561039e-07,6.22945345696181e-07
"Dox_6","Dox","6h",24368,0.363078331382701,4.25610757480602e-15,1.89661327751766e-14
"Dox_6","Dox","6h",24373,1.60903255298474,3.74944375157817e-19,2.1266330615927e-18
"Dox_6","Dox","6h",24375,0.567585226489417,8.02108717857471e-34,9.26499228547431e-33
"Dox_6","Dox","6h",24390,0.274932495872737,3.11071717464869e-06,6.92571175766208e-06
"Dox_6","Dox","6h",24398,1.14032129891332,3.52392940891293e-66,1.25396744785621e-64
"Dox_6","Dox","6h",24399,0.576596165987656,1.02550428536112e-37,1.38968243660575e-36
"Dox_6","Dox","6h",24404,0.530816789018449,3.74071108722844e-18,2.00376551945243e-17
"Dox_6","Dox","6h",24426,0.172352685018295,0.00373350668722723,0.0059541372261566
"Dox_6","Dox","6h",24434,0.364039766216717,3.69262016706937e-09,1.06336355187035e-08
"Dox_6","Dox","6h",24438,2.72614799937382,4.42506544946757e-06,9.71818357500393e-06
"Dox_6","Dox","6h",24439,0.722607705172853,6.07739975674333e-33,6.75710283114151e-32
"Dox_6","Dox","6h",24440,0.747534398363938,0.00275540365715527,0.00447768477291624
"Dox_6","Dox","6h",24464,0.471869243682016,0.00189998338894595,0.00314947132605005
"Dox_6","Dox","6h",24471,0.950880416344353,1.06511085204911e-23,7.71225041827005e-23
"Dox_6","Dox","6h",24479,0.353345746919681,2.69042430933639e-12,9.99908973393305e-12
"Dox_6","Dox","6h",24484,1.10116281729036,2.87145981279516e-07,6.99434746701603e-07
