"condition","treatment","timepoint","EntrezID","logfc","pval","fdr"
"Ace_6","Ace","6h",24159,0.341384279860762,2.45047718366246e-10,3.46254805155568e-09
"Ace_6","Ace","6h",24176,0.617971468319926,5.11456664097279e-05,0.000254573881302045
"Ace_6","Ace","6h",24205,0.363543927231368,9.67937734731877e-07,6.8988079291321e-06
"Ace_6","Ace","6h",24223,0.209130799898118,0.000135942134520688,0.000608021458455469
"Ace_6","Ace","6h",24242,0.523723052038344,8.52177528002375e-24,7.95037932214524e-22
"Ace_6","Ace","6h",24248,0.183063199538843,6.32232239535784e-05,0.000308464901582427
"Ace_6","Ace","6h",24312,0.46030713260634,1.54648889232253e-11,2.71175895648941e-10
"Ace_6","Ace","6h",24314,0.544241177271441,6.57895540243417e-08,5.92879980972303e-07
"Ace_6","Ace","6h",24330,0.60129074310479,3.27170411507421e-06,2.10226850731965e-05
"Ace_6","Ace","6h",24398,0.555511469434036,1.12305431535674e-15,3.73171975016026e-14
"Ace_6","Ace","6h",24438,4.56405336831493,1.04452264473453e-15,3.49470863711871e-14
"Ace_6","Ace","6h",24439,0.281795607542607,8.8791450055769e-06,5.21287117431086e-05
"Ace_6","Ace","6h",24451,0.846813829121655,1.66633503357164e-10,2.43737086217102e-09
"Ace_6","Ace","6h",24479,0.204087093965838,0.000103358509801242,0.000476490260262045
"Ace_6","Ace","6h",24503,1.01873527320777,0.000150893200332036,0.000667101955538412
"Ace_6","Ace","6h",24508,0.264147696713475,0.000446666423890043,0.00174143668183651
"Ace_6","Ace","6h",24518,0.459957880037241,0.000370408197458124,0.00147507834854247
"Ace_6","Ace","6h",24525,0.499856439909652,4.53102090253725e-11,7.37633984513726e-10
"Ace_6","Ace","6h",24567,0.678540273489049,8.31210315607824e-07,6.00368979322892e-06
"Ace_6","Ace","6h",24591,0.350878190491255,8.83270215132391e-07,6.34820479557374e-06
"Ace_6","Ace","6h",24609,0.376285335085123,2.43792302111503e-07,1.9592231722423e-06
"Ace_6","Ace","6h",24650,0.388427586758271,7.30455073539204e-07,5.33954954308869e-06
"Ace_6","Ace","6h",24667,0.219298262709379,3.08255426631299e-06,1.99039462253413e-05
"Ace_6","Ace","6h",24680,0.351423234351155,3.06180002672867e-05,0.000160292940967658
"Ace_6","Ace","6h",24708,0.367925986817242,9.5870744556976e-06,5.59463839728239e-05
"Ace_6","Ace","6h",24787,0.194851191899853,0.000117071403849964,0.000531790640334698
