	minimum	maximum
RCR10001	-6.285162755939837	-4.426351732135686
RCR10009	0.9999999999998991	2.3209147113019375
RCR10019	-2.201955555561928	-0.9999999999999265
RCR10084	5.999999999997248	6.795107282249917
RCR10093	0.15059887368275646	1.3499999999997174
RCR10097	2.9463517321381736	4.208941758466066
RCR10101	-14.119249121144094	-12.83333333333303
RCR10102	0.1999999999999322	0.3590214564499858
RCR10103	8.438405042816502	10.020000000000056
RCR10105	-199.63196115186895	-180.68706984476512
RCR10106	-8.417883516934353	-5.8927034642788385
RCR10109	-1.893563503874398	-1.4799999999997402
RCR10110	4.979999999998013	5.491227436273633
RCR10118	-11.56437337458965	-8.109003379959518
RCR10137	0.20000000000013052	0.3590214564499675
RCR10155	1.2999999999993892	1.7135635038744983
RCR10164	-11.564373374589763	-8.109003379959518
RCR10221	9.468403319214369	10.00000000000021
RCR10229	4.97999999999804	5.491227436273595
RCR10230	-13.81924912114414	-12.53333333333319
RCR10246	5.450598873682122	7.012999517149092
RCR10269	-5.4519980686015055	-3.9999999999999716
RCR10272	-5.451998068601506	-3.999999999999972
RCR10294	-13.81924912114414	-12.533333333333076
RCR10295	1.0000000000000748	1.7951072830521442
RCR10350	1.9999999999999045	5.540000000003404
RCR10352	5.892703464278952	8.4178835169364
RCR10441	1.0000000000001137	2.2156403480315703
RCR10443	-13.819249121141752	-12.53333333332614
RCR10444	12.533333333333161	13.819249121146441
RCR10468	3.4687868443583056	4.327699648459088
RCR10475	-0.7893108784456899	-0.5399999999998499
RCR10481	0.3000000000000667	0.5385321846772617
RCR10483	0.20000000000016166	0.3590214564514756
RCR10484	1.2000000000000444	1.7112274362787956
RCR10485	1.2999999999996728	1.7135635038778778
RCR10490	4.979999999999777	5.491227436277068
RCR10503	-6.121279177427659	-5.519999999997256
RCR10506	12.479999999999578	13.931998068606282
RCR10606	4.94635173213929	6.805162755948432
RCR10608	0.81517909226262	0.9200519846163452
RCR10612	-4.20894175846593	-2.946351732139038
RCR11017	90.0	100.0
RCR11027	12.533333333333411	13.819249121146514
RCR11070	3.1833333333321274	4.46924912114618
RCR11103	-5.527699648456518	-5.0133333333311025
RCR11104	-8.291549472684437	-7.519999999997367
RCR11109	1.199999999999818	1.9155965540309126
RCR11122	-1.374040753585824	-0.9999999999641255
RCR11127	-1.7715494726861687	-0.9999999999999989
RCR11129	1.9999999999999694	2.725999034299573
RCR11130	2.0000000000000444	2.7259990342994356
RCR11131	-2.725999034298583	-1.9999999999998304
RCR11132	2.0	2.7259990342996616
RCR11151	2.999999999999608	3.795107282251129
RCR11152	0.9999999999999998	1.4829494081740209
