EntrezID	logfc	pval	fdr	ave
84017	1.99387692739174	1.65053849738981e-24	4.28733487257028e-24	31.8577811548476
84018	-0.560695366238104	1.85672585650492e-14	3.65815461155714e-14	916.013989156653
84019	-0.484694474519221	1.02893695089457e-16	2.17314589802926e-16	588.644460734213
84020	-1.39629861078159	2.53161559666689e-85	1.91702046794433e-84	1012.98563008914
84021	0.281872476547322	0.0398942017327605	0.0466811554927317	50.120721194389
84023	0.181443846736533	0.227215816271965	0.248358917763588	47.0166587500146
84026	-0.422681561499578	4.01056738418778e-19	9.08055347067035e-19	3184.01929854124
84027	0.227393505645325	0.00628986902180188	0.00777367134369094	1039.10918460862
84030	-1.06315979200182	2.46138138853416e-22	6.06654440791297e-22	144.014874650499
84031	-0.396820933876573	0.0671751367706056	0.077230977214582	27.731905084218
84032	-2.59863277535776	2.39867512465043e-142	3.91810524850306e-141	46077.201023485
84046	3.31256442770488	1.14212990120811e-282	8.18845250353831e-281	377.383127077514
84050	-1.48495265464407	3.40671886072098e-14	6.66685307233201e-14	32.1689308655342
84114	-0.519270964421996	7.31120481680463e-19	1.64335559696949e-18	597.636718707773
84347	0.901436765527156	7.41691557757302e-14	1.43583119600955e-13	52.3033971023593
84348	-1.09135094990358	8.6270051122349e-26	2.31229157280786e-25	221.270648514841
84349	0.100649440161077	0.698939443709832	0.718539567970113	14.1069451004297
84350	-0.365490175972814	7.89431528449946e-10	1.3369078967955e-09	1795.67707269687
84351	0.289750256521797	2.32201951042112e-07	3.58564158670228e-07	702.450988713683
84352	-2.15139587913962	4.80989444234095e-103	4.80791234298285e-102	34610.0977766554
84353	0.0154344631735065	0.638367069758615	0.660185769435578	8364.13563079816
84354	0.553305061770781	1.41379208083846e-23	3.59160934622497e-23	1195.86474220985
84355	1.16324434389724	2.6413534603584e-65	1.48540410595271e-64	883.263319412978
84356	2.32200855263977	5.87816686214258e-58	2.91584323488831e-57	95.7258851506755
84357	-1.24079918886311	6.86501676982808e-94	5.95077153472769e-93	5420.46625042943
84358	0.898343141466393	1.64378973547064e-07	2.55023087197951e-07	34.6095413808386
84359	0.479164823729425	2.32916631150199e-16	4.86910176638895e-16	326.203167211406
84360	0.152081118555478	0.0162276138580022	0.0195219616539398	1368.90468840038
84379	0.540890373230508	8.5798805700815e-35	2.7960497495962e-34	2855.34705850046
84380	4.04316372357879	1.97810809366269e-93	1.69449000560134e-92	43.8153290022749
84382	-1.68501096421408	1.2769642048298e-178	3.25480508530523e-177	828.759310461089
84383	-0.231924275668133	0.0193935231719685	0.0232269039042816	349.926052863577
84384	0.751685086200868	3.79110423658384e-32	1.16872974071682e-31	415.178731018367
84386	-0.0101689077393275	0.967626964145047	0.970226857469309	20.2087560768277
84387	2.9684909597407	1.9414672890438e-50	8.44979513299743e-50	38.1883089429653
84388	-0.128748321393744	0.265824197793958	0.288243583273228	125.540139380475
84389	0.114225015349132	0.0638470574860054	0.0735674194166197	650.963810054545
84391	0.575308186204234	4.83362374846838e-19	1.09186031406501e-18	561.624360596257
84392	0.598062662665667	3.00046300199461e-26	8.12441647088921e-26	763.277519898509
84393	-0.537403731256177	2.10817491284932e-05	2.9858288907755e-05	237.681881098061
84394	-0.194519914514995	0.362460196261458	0.387031965986006	17.3777390837944
84396	0.250080682812446	0.046932654846123	0.0546096784962003	65.0639221895363
84397	0.0393264147051596	0.875326393109644	0.885425377072405	25.6511286253726
84399	4.52009770206303	1.06859052861497e-09	1.80149039192196e-09	3.90611071318301
84400	0.488356944212652	6.755545178896e-08	1.0663796587164e-07	416.181989381063
84401	-0.530050874781703	3.54856478530585e-44	1.38312297496897e-43	2544.45787524888
84402	0.938025647122069	6.98862028639261e-52	3.11523367988233e-51	2307.01796805849
