well_ID,drug,conc,timepoint,dead_cells,dead_cells_DOX,total_cells
A01,blank,0,24h,0,0,1232
A01,blank,0,24h,0,0,974
A01,blank,0,24h,0,0,415
A01,blank,0,24h,0,0,1129
A02,blank,0,24h,0,0,1360
A02,blank,0,24h,0,0,1148
A02,blank,0,24h,0,0,1095
A02,blank,0,24h,0,0,1131
A03,blank,0,24h,0,0,1021
A03,blank,0,24h,0,0,1082
A03,blank,0,24h,0,0,993
A03,blank,0,24h,0,0,1057
A04,Ace,0.078125,24h,211,211,1127
A04,Ace,0.078125,24h,164,164,1036
A04,Ace,0.078125,24h,171,171,1079
A04,Ace,0.078125,24h,216,216,1133
A05,Ace,0.078125,24h,191,191,1054
A05,Ace,0.078125,24h,165,165,1030
A05,Ace,0.078125,24h,216,216,1172
A05,Ace,0.078125,24h,203,203,1087
A06,Ace,0.078125,24h,278,278,1155
A06,Ace,0.078125,24h,242,242,1117
A06,Ace,0.078125,24h,279,279,1203
A06,Ace,0.078125,24h,297,297,1188
A07,Dox,0.15625,24h,269,263,1067
A07,Dox,0.15625,24h,238,228,1143
A07,Dox,0.15625,24h,305,298,1197
A07,Dox,0.15625,24h,307,301,1175
A08,Dox,0.15625,24h,362,354,1194
A08,Dox,0.15625,24h,239,238,1122
A08,Dox,0.15625,24h,313,306,1197
A08,Dox,0.15625,24h,280,273,1118
A09,Dox,0.15625,24h,289,281,1133
A09,Dox,0.15625,24h,263,258,1133
A09,Dox,0.15625,24h,300,292,1175
A09,Dox,0.15625,24h,252,245,1192
A10,5FU,0.078125,24h,477,477,1295
A10,5FU,0.078125,24h,234,234,1158
A10,5FU,0.078125,24h,265,265,1184
A10,5FU,0.078125,24h,390,390,1284
A11,5FU,0.078125,24h,270,270,1168
A11,5FU,0.078125,24h,218,218,1032
A11,5FU,0.078125,24h,272,272,1146
A11,5FU,0.078125,24h,287,287,1163
A12,5FU,0.078125,24h,305,305,1155
A12,5FU,0.078125,24h,192,192,1012
A12,5FU,0.078125,24h,303,303,1110
A12,5FU,0.078125,24h,284,284,1151
B01,ctl,0,24h,317,317,1176
B01,ctl,0,24h,188,188,1134
B01,ctl,0,24h,179,179,1119
B01,ctl,0,24h,183,183,1104
B02,ctl,0,24h,225,225,1160
B02,ctl,0,24h,150,150,1118
B02,ctl,0,24h,192,192,1132
B02,ctl,0,24h,232,232,1165
B03,ctl,0,24h,319,319,1149
B03,ctl,0,24h,228,228,1098
B03,ctl,0,24h,282,282,1187
B03,ctl,0,24h,326,326,1231
B04,Ace,0.15625,24h,201,201,1086
B04,Ace,0.15625,24h,178,178,1122
B04,Ace,0.15625,24h,237,237,1093
B04,Ace,0.15625,24h,261,261,1135
B05,Ace,0.15625,24h,199,199,1073
B05,Ace,0.15625,24h,243,243,1155
B05,Ace,0.15625,24h,253,253,1209
B05,Ace,0.15625,24h,209,209,1078
B06,Ace,0.15625,24h,283,283,1190
B06,Ace,0.15625,24h,291,291,1173
B06,Ace,0.15625,24h,286,286,1199
B06,Ace,0.15625,24h,312,312,1232
B07,Dox,0.3125,24h,365,355,1207
B07,Dox,0.3125,24h,307,301,1241
B07,Dox,0.3125,24h,388,368,1250
B07,Dox,0.3125,24h,323,317,1186
B08,Dox,0.3125,24h,268,257,1100
B08,Dox,0.3125,24h,229,225,1121
B08,Dox,0.3125,24h,352,346,1205
B08,Dox,0.3125,24h,311,305,1203
B09,Dox,0.3125,24h,264,255,1100
B09,Dox,0.3125,24h,247,239,1092
B09,Dox,0.3125,24h,242,241,1078
B09,Dox,0.3125,24h,264,257,1101
B10,5FU,0.15625,24h,278,278,1152
B10,5FU,0.15625,24h,231,231,1090
B10,5FU,0.15625,24h,316,316,1180
B10,5FU,0.15625,24h,333,333,1209
B11,5FU,0.15625,24h,273,273,1181
B11,5FU,0.15625,24h,231,231,1144
