drug,conc,timepoint,background,raw value
Ace,0.078125,6h,738.6666667,724100
Ace,0.15625,6h,738.6666667,715200
Ace,0.3125,6h,738.6666667,686900
Ace,0.625,6h,738.6666667,638000
Ace,1.25,6h,738.6666667,566800
Ace,2.5,6h,738.6666667,463700
Ace,5,6h,738.6666667,334900
Ace,10,6h,738.6666667,214200
Dox,0.15625,6h,738.6666667,825400
Dox,0.3125,6h,738.6666667,796000
Dox,0.625,6h,738.6666667,823900
Dox,1.25,6h,738.6666667,774800
Dox,2.5,6h,738.6666667,725400
Dox,5,6h,738.6666667,713500
Dox,10,6h,738.6666667,723500
Dox,20,6h,738.6666667,600800
5FU,0.078125,6h,738.6666667,733500
5FU,0.15625,6h,738.6666667,749100
5FU,0.3125,6h,738.6666667,712900
5FU,0.625,6h,738.6666667,740700
5FU,1.25,6h,738.6666667,704300
5FU,2.5,6h,738.6666667,659100
5FU,5,6h,738.6666667,605700
5FU,10,6h,738.6666667,554900
Ace,0.078125,6h,738.6666667,762900
Ace,0.15625,6h,738.6666667,705700
Ace,0.3125,6h,738.6666667,641400
Ace,0.625,6h,738.6666667,610700
Ace,1.25,6h,738.6666667,545300
Ace,2.5,6h,738.6666667,492100
Ace,5,6h,738.6666667,329200
Ace,10,6h,738.6666667,213800
Dox,0.15625,6h,738.6666667,775000
Dox,0.3125,6h,738.6666667,746200
Dox,0.625,6h,738.6666667,775800
Dox,1.25,6h,738.6666667,738900
Dox,2.5,6h,738.6666667,729900
Dox,5,6h,738.6666667,725800
Dox,10,6h,738.6666667,701500
Dox,20,6h,738.6666667,626000
5FU,0.078125,6h,738.6666667,786200
5FU,0.15625,6h,738.6666667,800900
5FU,0.3125,6h,738.6666667,745600
5FU,0.625,6h,738.6666667,762100
5FU,1.25,6h,738.6666667,668900
5FU,2.5,6h,738.6666667,697500
5FU,5,6h,738.6666667,651500
5FU,10,6h,738.6666667,571200
Ace,0.078125,6h,738.6666667,756400
Ace,0.15625,6h,738.6666667,711400
Ace,0.3125,6h,738.6666667,671100
Ace,0.625,6h,738.6666667,681100
Ace,1.25,6h,738.6666667,562000
Ace,2.5,6h,738.6666667,468700
Ace,5,6h,738.6666667,363300
Ace,10,6h,738.6666667,195400
Dox,0.15625,6h,738.6666667,812800
Dox,0.3125,6h,738.6666667,733800
Dox,0.625,6h,738.6666667,765100
Dox,1.25,6h,738.6666667,729200
Dox,2.5,6h,738.6666667,693100
Dox,5,6h,738.6666667,656800
Dox,10,6h,738.6666667,623500
Dox,20,6h,738.6666667,577200
5FU,0.078125,6h,738.6666667,729200
5FU,0.15625,6h,738.6666667,762800
5FU,0.3125,6h,738.6666667,728400
5FU,0.625,6h,738.6666667,708500
5FU,1.25,6h,738.6666667,693100
5FU,2.5,6h,738.6666667,673900
5FU,5,6h,738.6666667,614700
5FU,10,6h,738.6666667,554200
DMSO,0,6h,738.6666667,731300
DMSO,0,6h,738.6666667,767600
DMSO,0,6h,738.6666667,787400
Ace,0.078125,24h,538.6666667,991200
Ace,0.15625,24h,538.6666667,945200
Ace,0.3125,24h,538.6666667,860600
Ace,0.625,24h,538.6666667,823800
Ace,1.25,24h,538.6666667,707000
Ace,2.5,24h,538.6666667,581200
Ace,5,24h,538.6666667,477200
Ace,10,24h,538.6666667,333700
Dox,0.15625,24h,538.6666667,1059000
Dox,0.3125,24h,538.6666667,923600
Dox,0.625,24h,538.6666667,981000
Dox,1.25,24h,538.6666667,670400
Dox,2.5,24h,538.6666667,417500
Dox,5,24h,538.6666667,669000
Dox,10,24h,538.6666667,784100
Dox,20,24h,538.6666667,572600
5FU,0.078125,24h,538.6666667,928900
5FU,0.15625,24h,538.6666667,875200
