drug,conc,timepoint,background,raw value
5FU,0.3125,24h,538.6666667,829300
5FU,0.625,24h,538.6666667,883200
5FU,1.25,24h,538.6666667,844700
5FU,2.5,24h,538.6666667,791200
5FU,5,24h,538.6666667,786800
5FU,10,24h,538.6666667,788500
Ace,0.078125,24h,538.6666667,1021000
Ace,0.15625,24h,538.6666667,908500
Ace,0.3125,24h,538.6666667,815700
Ace,0.625,24h,538.6666667,783500
Ace,1.25,24h,538.6666667,655000
Ace,2.5,24h,538.6666667,605900
Ace,5,24h,538.6666667,473800
Ace,10,24h,538.6666667,330100
Dox,0.15625,24h,538.6666667,1125000
Dox,0.3125,24h,538.6666667,903000
Dox,0.625,24h,538.6666667,961200
Dox,1.25,24h,538.6666667,680800
Dox,2.5,24h,538.6666667,434700
Dox,5,24h,538.6666667,687400
Dox,10,24h,538.6666667,807000
Dox,20,24h,538.6666667,632700
5FU,0.078125,24h,538.6666667,997500
5FU,0.15625,24h,538.6666667,928800
5FU,0.3125,24h,538.6666667,865500
5FU,0.625,24h,538.6666667,890000
5FU,1.25,24h,538.6666667,801800
5FU,2.5,24h,538.6666667,868500
5FU,5,24h,538.6666667,840400
5FU,10,24h,538.6666667,799300
Ace,0.078125,24h,538.6666667,1041000
Ace,0.15625,24h,538.6666667,933600
Ace,0.3125,24h,538.6666667,864500
Ace,0.625,24h,538.6666667,899200
Ace,1.25,24h,538.6666667,723000
Ace,2.5,24h,538.6666667,622900
Ace,5,24h,538.6666667,557900
Ace,10,24h,538.6666667,306400
Dox,0.15625,24h,538.6666667,1008000
Dox,0.3125,24h,538.6666667,898000
Dox,0.625,24h,538.6666667,913800
Dox,1.25,24h,538.6666667,655600
Dox,2.5,24h,538.6666667,415700
Dox,5,24h,538.6666667,605000
Dox,10,24h,538.6666667,607300
Dox,20,24h,538.6666667,544300
5FU,0.078125,24h,538.6666667,872600
5FU,0.15625,24h,538.6666667,898000
5FU,0.3125,24h,538.6666667,875500
5FU,0.625,24h,538.6666667,1001000
5FU,1.25,24h,538.6666667,869800
5FU,2.5,24h,538.6666667,868000
5FU,5,24h,538.6666667,808400
5FU,10,24h,538.6666667,770300
DMSO,0,24h,538.6666667,940000
DMSO,0,24h,538.6666667,941700
DMSO,0,24h,538.6666667,1033000
Ace,0.078125,48h,5.20E+02,925900
Ace,0.15625,48h,5.20E+02,860100
Ace,0.3125,48h,5.20E+02,777300
Ace,0.625,48h,5.20E+02,729200
Ace,1.25,48h,5.20E+02,598200
Ace,2.5,48h,5.20E+02,440500
Ace,5,48h,5.20E+02,325900
Ace,10,48h,5.20E+02,239000
Dox,0.15625,48h,5.20E+02,1014000
Dox,0.3125,48h,5.20E+02,934500
Dox,0.625,48h,5.20E+02,1210000
Dox,1.25,48h,5.20E+02,465500
Dox,2.5,48h,5.20E+02,48500
Dox,5,48h,5.20E+02,166900
Dox,10,48h,5.20E+02,208900
Dox,20,48h,5.20E+02,124700
5FU,0.078125,48h,5.20E+02,898500
5FU,0.15625,48h,5.20E+02,815200
5FU,0.3125,48h,5.20E+02,788600
5FU,0.625,48h,5.20E+02,867100
5FU,1.25,48h,5.20E+02,843200
5FU,2.5,48h,5.20E+02,793900
5FU,5,48h,5.20E+02,789900
5FU,10,48h,5.20E+02,739000
Ace,0.078125,48h,5.20E+02,952800
Ace,0.15625,48h,5.20E+02,812700
Ace,0.3125,48h,5.20E+02,755900
Ace,0.625,48h,5.20E+02,721800
Ace,1.25,48h,5.20E+02,551800
Ace,2.5,48h,5.20E+02,467100
Ace,5,48h,5.20E+02,325800
Ace,10,48h,5.20E+02,241500
Dox,0.15625,48h,5.20E+02,1127000
Dox,0.3125,48h,5.20E+02,955300
Dox,0.625,48h,5.20E+02,1167000
Dox,1.25,48h,5.20E+02,441200
Dox,2.5,48h,5.20E+02,48540
Dox,5,48h,5.20E+02,171900
Dox,10,48h,5.20E+02,199400
Dox,20,48h,5.20E+02,136900
5FU,0.078125,48h,5.20E+02,962800
5FU,0.15625,48h,5.20E+02,865000
5FU,0.3125,48h,5.20E+02,839700
5FU,0.625,48h,5.20E+02,882400
5FU,1.25,48h,5.20E+02,818000
5FU,2.5,48h,5.20E+02,897200
5FU,5,48h,5.20E+02,863700
5FU,10,48h,5.20E+02,756700
Ace,0.078125,48h,5.20E+02,963300
Ace,0.15625,48h,5.20E+02,875700
Ace,0.3125,48h,5.20E+02,791700
Ace,0.625,48h,5.20E+02,814200
Ace,1.25,48h,5.20E+02,613900
Ace,2.5,48h,5.20E+02,476900
Ace,5,48h,5.20E+02,455500
Ace,10,48h,5.20E+02,225300
Dox,0.15625,48h,5.20E+02,963100
Dox,0.3125,48h,5.20E+02,886200
Dox,0.625,48h,5.20E+02,1145000
Dox,1.25,48h,5.20E+02,437200
Dox,2.5,48h,5.20E+02,58750
Dox,5,48h,5.20E+02,141200
Dox,10,48h,5.20E+02,161500
Dox,20,48h,5.20E+02,128900
5FU,0.078125,48h,5.20E+02,815400
5FU,0.15625,48h,5.20E+02,851000
5FU,0.3125,48h,5.20E+02,873000
5FU,0.625,48h,5.20E+02,1112000
5FU,1.25,48h,5.20E+02,890400
5FU,2.5,48h,5.20E+02,914900
5FU,5,48h,5.20E+02,830500
5FU,10,48h,5.20E+02,735200
DMSO,0,48h,5.20E+02,839300
DMSO,0,48h,5.20E+02,814600
DMSO,0,48h,5.20E+02,931200
