well_ID,drug,conc,timepoint,dead_cells,dead_cells_DOX,total_cells
A01,blank,0,24h,0,0,1261
A01,blank,0,24h,0,0,1182
A01,blank,0,24h,0,0,1305
A01,blank,0,24h,0,0,1200
A02,blank,0,24h,0,0,1447
A02,blank,0,24h,0,0,1257
A02,blank,0,24h,0,0,1196
A02,blank,0,24h,0,0,1298
A03,blank,0,24h,0,0,1299
A03,blank,0,24h,0,0,1291
A03,blank,0,24h,0,0,1291
A03,blank,0,24h,0,0,1092
A04,Ace,0.078125,24h,71,71,653
A04,Ace,0.078125,24h,44,44,616
A04,Ace,0.078125,24h,69,69,684
A04,Ace,0.078125,24h,110,110,756
A05,Ace,0.078125,24h,60,60,596
A05,Ace,0.078125,24h,82,82,662
A05,Ace,0.078125,24h,78,78,691
A05,Ace,0.078125,24h,70,70,672
A06,Ace,0.078125,24h,92,92,666
A06,Ace,0.078125,24h,65,65,620
A06,Ace,0.078125,24h,57,57,676
A06,Ace,0.078125,24h,83,83,724
A07,Dox,0.15625,24h,79,79,665
A07,Dox,0.15625,24h,58,58,655
A07,Dox,0.15625,24h,84,83,701
A07,Dox,0.15625,24h,89,88,721
A08,Dox,0.15625,24h,78,77,674
A08,Dox,0.15625,24h,72,70,636
A08,Dox,0.15625,24h,81,78,711
A08,Dox,0.15625,24h,107,103,704
A09,Dox,0.15625,24h,95,90,725
A09,Dox,0.15625,24h,70,68,669
A09,Dox,0.15625,24h,87,85,747
A09,Dox,0.15625,24h,103,100,712
A10,5FU,0.078125,24h,62,62,580
A10,5FU,0.078125,24h,62,62,565
A10,5FU,0.078125,24h,92,92,705
A10,5FU,0.078125,24h,75,75,651
A11,5FU,0.078125,24h,102,102,730
A11,5FU,0.078125,24h,77,77,653
A11,5FU,0.078125,24h,78,78,740
A11,5FU,0.078125,24h,91,91,715
A12,5FU,0.078125,24h,92,92,674
A12,5FU,0.078125,24h,58,58,623
A12,5FU,0.078125,24h,72,72,627
A12,5FU,0.078125,24h,122,122,769
B01,ctl,0,24h,40,40,579
B01,ctl,0,24h,28,28,542
B01,ctl,0,24h,41,41,632
B01,ctl,0,24h,70,70,676
B02,ctl,0,24h,56,56,614
B02,ctl,0,24h,51,51,635
B02,ctl,0,24h,130,130,761
B02,ctl,0,24h,76,76,635
B03,ctl,0,24h,51,51,601
B03,ctl,0,24h,31,31,643
B03,ctl,0,24h,53,53,703
B03,ctl,0,24h,67,67,739
B04,Ace,0.15625,24h,57,57,634
B04,Ace,0.15625,24h,64,64,660
B04,Ace,0.15625,24h,71,71,703
B04,Ace,0.15625,24h,45,45,655
B05,Ace,0.15625,24h,36,36,624
B05,Ace,0.15625,24h,46,46,572
B05,Ace,0.15625,24h,68,68,664
B05,Ace,0.15625,24h,64,64,634
B06,Ace,0.15625,24h,56,56,702
B06,Ace,0.15625,24h,76,76,725
B06,Ace,0.15625,24h,91,91,734
B06,Ace,0.15625,24h,63,63,732
B07,Dox,0.3125,24h,59,59,666
B07,Dox,0.3125,24h,83,80,685
B07,Dox,0.3125,24h,88,87,720
B07,Dox,0.3125,24h,83,83,684
B08,Dox,0.3125,24h,55,55,581
B08,Dox,0.3125,24h,64,62,624
B08,Dox,0.3125,24h,105,103,743
B08,Dox,0.3125,24h,65,65,689
B09,Dox,0.3125,24h,81,79,625
B09,Dox,0.3125,24h,45,44,645
B09,Dox,0.3125,24h,83,80,684
B09,Dox,0.3125,24h,92,91,717
B10,5FU,0.15625,24h,43,43,590
B10,5FU,0.15625,24h,58,58,643
B10,5FU,0.15625,24h,61,61,643
B10,5FU,0.15625,24h,48,48,602
B11,5FU,0.15625,24h,64,64,644
B11,5FU,0.15625,24h,77,77,688
B11,5FU,0.15625,24h,74,74,750
B11,5FU,0.15625,24h,77,77,710
B12,5FU,0.15625,24h,68,68,661
B12,5FU,0.15625,24h,86,86,646
B12,5FU,0.15625,24h,72,72,616
B12,5FU,0.15625,24h,59,59,708
C01,DMSO,0,24h,57,57,591
C01,DMSO,0,24h,57,57,585
