drug,conc,timepoint,background,raw value
Ace,5,6h,857.1111111,279900
Ace,2.5,6h,857.1111111,325700
Ace,1.25,6h,857.1111111,361100
Ace,0.625,6h,857.1111111,394100
Ace,0.3125,6h,857.1111111,457800
Dox,5,6h,857.1111111,398000
Dox,2.5,6h,857.1111111,455500
Dox,1.25,6h,857.1111111,527900
Dox,0.625,6h,857.1111111,484500
Dox,0.3125,6h,857.1111111,648900
5FU,20,6h,857.1111111,266500
5FU,10,6h,857.1111111,382500
5FU,5,6h,857.1111111,376200
5FU,2.5,6h,857.1111111,521300
5FU,1.25,6h,857.1111111,463500
Ace,5,6h,857.1111111,237100
Ace,2.5,6h,857.1111111,363900
Ace,1.25,6h,857.1111111,381500
Ace,0.625,6h,857.1111111,482900
Ace,0.3125,6h,857.1111111,441200
Dox,5,6h,857.1111111,363600
Dox,2.5,6h,857.1111111,487500
Dox,1.25,6h,857.1111111,516400
Dox,0.625,6h,857.1111111,547900
Dox,0.3125,6h,857.1111111,455100
5FU,20,6h,857.1111111,308000
5FU,10,6h,857.1111111,349400
5FU,5,6h,857.1111111,379500
5FU,2.5,6h,857.1111111,445800
5FU,1.25,6h,857.1111111,454100
Ace,5,6h,857.1111111,263400
Ace,2.5,6h,857.1111111,334000
Ace,1.25,6h,857.1111111,383300
Ace,0.625,6h,857.1111111,490000
Ace,0.3125,6h,857.1111111,445800
Dox,5,6h,857.1111111,401600
Dox,2.5,6h,857.1111111,437900
Dox,1.25,6h,857.1111111,517600
Dox,0.625,6h,857.1111111,491300
Dox,0.3125,6h,857.1111111,482000
5FU,20,6h,857.1111111,325900
5FU,10,6h,857.1111111,400500
5FU,5,6h,857.1111111,375700
5FU,2.5,6h,857.1111111,460100
5FU,1.25,6h,857.1111111,422300
DMSO,0,6h,857.1111111,463700
DMSO,0,6h,857.1111111,437500
DMSO,0,6h,857.1111111,437200
Ace,5,24h,1140.888889,405300
Ace,2.5,24h,1140.888889,436900
Ace,1.25,24h,1140.888889,542900
Ace,0.625,24h,1140.888889,607500
Ace,0.3125,24h,1140.888889,736600
Dox,5,24h,1140.888889,530800
Dox,2.5,24h,1140.888889,516300
Dox,1.25,24h,1140.888889,354900
Dox,0.625,24h,1140.888889,473100
Dox,0.3125,24h,1140.888889,815400
5FU,20,24h,1140.888889,344300
5FU,10,24h,1140.888889,452500
5FU,5,24h,1140.888889,465300
5FU,2.5,24h,1140.888889,632400
5FU,1.25,24h,1140.888889,560600
Ace,5,24h,1140.888889,384300
Ace,2.5,24h,1140.888889,496600
Ace,1.25,24h,1140.888889,538100
Ace,0.625,24h,1140.888889,764300
Ace,0.3125,24h,1140.888889,701600
Dox,5,24h,1140.888889,440100
Dox,2.5,24h,1140.888889,557700
Dox,1.25,24h,1140.888889,350600
Dox,0.625,24h,1140.888889,579300
Dox,0.3125,24h,1140.888889,624300
5FU,20,24h,1140.888889,454100
5FU,10,24h,1140.888889,426200
5FU,5,24h,1140.888889,464900
5FU,2.5,24h,1140.888889,514100
5FU,1.25,24h,1140.888889,535700
Ace,5,24h,1140.888889,380500
Ace,2.5,24h,1140.888889,454300
Ace,1.25,24h,1140.888889,553800
Ace,0.625,24h,1140.888889,738900
Ace,0.3125,24h,1140.888889,723200
Dox,5,24h,1140.888889,509100
Dox,2.5,24h,1140.888889,485500
Dox,1.25,24h,1140.888889,358900
Dox,0.625,24h,1140.888889,486000
Dox,0.3125,24h,1140.888889,691200
5FU,20,24h,1140.888889,491800
5FU,10,24h,1140.888889,513000
5FU,5,24h,1140.888889,458300
5FU,2.5,24h,1140.888889,539300
5FU,1.25,24h,1140.888889,525300
DMSO,0,24h,1140.888889,681000
DMSO,0,24h,1140.888889,669200
DMSO,0,24h,1140.888889,686400
Ace,5,48h,1494.111111,393100
Ace,2.5,48h,1494.111111,461000
Ace,1.25,48h,1494.111111,620700
Ace,0.625,48h,1494.111111,675500
Ace,0.3125,48h,1494.111111,748400
Dox,5,48h,1494.111111,280100
Dox,2.5,48h,1494.111111,239600
Dox,1.25,48h,1494.111111,59340
Dox,0.625,48h,1494.111111,429000
Dox,0.3125,48h,1494.111111,1074000
