	minimum	maximum
RCR10001	-10.180329263121166	-4.02000000000055
RCR10009	1.0	4.400000000000816
RCR10018	0.9999999999999998	5.019999999999868
RCR10019	-7.799999999999731	-1.0
RCR10084	1.0199999999991562	1.2922586548868993
RCR10100	-4.619999999999436	-0.3908454435799058
RCR10101	-25.066020473741673	-16.693333333330997
RCR10103	6.5966666666679785	12.610000000001248
RCR10105	-237.28126506617218	-192.08964715582886
RCR10106	-10.634432805828396	-4.164773681156589
RCR10109	-4.233846153846666	-1.4799999999998836
RCR10118	0.08648540096646684	18.199725112057195
RCR10155	1.3000000000001743	4.053846153844894
RCR10164	0.08648540096646684	18.199725112057195
RCR10229	0.0	0.515535244476245
RCR10230	-20.70600000000718	-13.533333333344558
RCR10246	6.56000000000068	10.029230769229725
RCR10269	-12.479999999999784	-9.079999999998105
RCR10272	-12.479999999999784	-9.079999999998105
RCR10275	0.0	5.854006185800022
RCR10294	-25.000000000001933	-16.993333333346982
RCR10295	1.0000000000002385	1.5228863910535646
RCR10337	1.0057014675750928	1.2617871681605428
RCR10350	1.0000000000005125	4.399999999999745
RCR10352	4.164773681131692	10.63443280584113
RCR10441	0.9999999999889724	6.966666666653964
RCR10443	-25.000000000016144	-16.9933333333463
RCR10444	16.993333333332544	24.999999999999318
RCR10462	8.723286447462069e-14	3.5448109352770296
RCR10463	8.723286447462069e-14	3.544810935277029
RCR10464	8.72328644746207e-14	3.544810935277029
RCR10468	1.1733333333326073	4.900000000000091
RCR10471	-3.983333333333576	-1.0000000000000024
RCR10475	-0.7180152743493409	-0.5400000000003047
RCR10479	2.539999999999738	3.900000000000157
RCR10480	0.2999999999995684	0.4568659173145454
RCR10483	0.20000000000004334	0.30457727821002123
RCR10484	1.1999999999996094	5.219999999999474
RCR10485	1.300000000000145	4.053846153846977
RCR10503	-0.7180152743495342	-0.5400000000002455
RCR10506	12.579999999999083	17.98999999999988
RCR10555	1.0919066573317804e-14	3.5448109352770287
RCR10606	4.540000000001843	10.924135317787517
RCR10608	1.0057014675750842	1.2617871681604445
RCR10612	-3.544810935276425	1.9749397226299617e-13
RCR11017	90.00000000000001	100.00000000000001
RCR11027	13.53333333333437	20.705999999998077
RCR11070	8.993333333337732	17.00000000000025
RCR11087	-5.854006185800017	0.0
RCR11103	-7.882399999999623	-5.013333333333201
RCR11104	-11.823599999999487	-7.519999999999868
RCR11105	-3.9833333333322116	-1.0000000000000016
RCR11109	2.5	6.519999999999982
RCR11122	-2.699999999999932	-0.9999999999985155
RCR11127	-2.3600000000001313	-1.0000000000003486
RCR11129	4.539999999999599	6.240000000000036
RCR11130	4.539999999999599	6.240000000000036
RCR11131	-6.240000000000031	-4.539999999999581
RCR11132	4.539999999999736	6.240000000000009
RCR11151	3.0000000000000324	7.258460132926204
RCR11155	1.0	3.7538461538469545
RCR11156	1.0	5.020000000000332
RCR11158	2.499999999999723	6.519999999999975
RCR11167	-8.999999999999998	-4.979999999999899
RCR11170	-0.4568659173155374	-0.3000000000001497
RCR11172	1.3000000000003498	4.053846153846439
RCR11176	3.9799999999999116	7.9999999999999964
RCR11194	1.0000000000000016	3.983333333333459
RCR11204	-6.519999999999695	-2.499999999999653
RCR11220	0.19999999999977386	0.3045772782100213
RCR11221	0.1999999999998221	0.3045772782100361
RCR11222	0.3908454435795306	4.620000000000141
RCR11240	1.0000000000006009	4.400000000000561
RCR11244	-25.699725112060605	-7.0868270118661485
RCR11251	1.0057014675750873	1.2617871681604373
RCR11299	3.460000000000196	8.738333333334062
RCR11300	3.4600000000001963	8.738333333334062
RCR11301	3.460000000000196	8.738333333334062
RCR11302	2.46000000000004	6.269230769231172
RCR11319	6.5600000000072125	10.029230769231141
RCR11320	-10.029230769241394	-6.559999999999384
RCR11503	3.6399999999995383	5.000000000000139
RCR11659	3.1647736811433327	7.99635939933577
RCR11660	-30.480380943322416	-16.067806210222898
RCR11661	-10.634432805831807	-4.164773681144311
RCR11663	9.174878270139926	16.469386105114246
RCR11665	217.04290288958234	270.42976811238435
RCR11669	-7.996359399336598	-3.164773681143629
RCR11671	9.174878270141779	16.469386105114246
RCR12708	-2.907762149154024e-14	3.5448109352768755
RCR12709	-2.9077621491540233e-14	3.544810935276876
RCR12710	-2.9077621491540233e-14	3.544810935276876
RCR12711	-2.907762149154024e-14	3.5448109352768755
RCR12712	-2.9077621491540233e-14	3.544810935276875
RCR12713	-2.9077621491540233e-14	3.5448109352768746
RCR13179	0.9999999999998703	3.983333333333062
RCR13802	-11.681335679550491	-3.517301691099519
RCR13806	1.3000000000006522	4.053846153846115
RCR13852	3.5173016911017356	11.681335679550815
RCR14182	5.013333333339231	7.882399999997041
RCR14186	-7.882400000006214	-5.013333333332184
RCR14216	-3.9412000000030503	-2.506666666666092
RCR14217	5.013333333335493	7.882399999997332
RCR14218	-3.941200000000663	-2.5066666666663195
RCR14219	2.506666666668707	3.941199999998389
RCR14223	4.539999999999168	6.240000000000009
RCR14224	2.5400000000004326	3.900000000000157
RCR14227	0.540000000000532	0.7180152743524104
RCR14228	4.540000000000021	6.240000000000034
RCR14230	2.0000000000002274	3.699999999999818
RCR14232	1.9999999999998863	3.3599999999996726
