	minimum	maximum
RCR10001	-11.900000000120599	-2.4511458570048035
RCR10002	0.9711458575068127	10.000000000000028
RCR10009	1.0	1.4199999999998512
RCR10019	-1.8400000000002048	-1.0
RCR10084	5.999999999998378	6.933333333331908
RCR10101	-17.248089778709186	-12.833333333332916
RCR10103	9.17999999999987	10.019999999999817
RCR10105	-214.82999971831407	-177.32061685409963
RCR10106	-13.319013144500786	-7.457812524175779
RCR10109	-1.3200000000002667	-0.20000000000014512
RCR10110	4.980000000000054	5.81999999999977
RCR10118	-18.00000000000034	-17.16000000000065
RCR10129	0.9999999999999999	1.279999999999907
RCR10131	-1.2800000000000706	-0.9999999999999999
RCR10155	1.3000000000000518	2.13999999999977
RCR10164	-18.000000000000227	-17.16000000000065
RCR10221	9.58000000000003	10.000000000000092
RCR10229	4.980000000000052	5.81999999999977
RCR10230	-16.944815918190784	-12.533333333332394
RCR10246	5.300000000000559	6.979999999999827
RCR10269	-5.680000000000414	-4.000000000000423
RCR10272	-2.784180962631108	0.9739207982805584
RCR10275	1.4627012153170167	6.486666666668496
RCR10294	-16.94481591844385	-12.533333333324322
RCR10295	0.9999999999982409	1.9333333333327893
RCR10337	0.8796070983941655	1.0659303864915473
RCR10349	5.457812524175509	11.2804887211492
RCR10350	1.9999999999997706	2.8400000000005696
RCR10352	7.457812524175438	13.319013144500786
RCR10441	1.0	6.950847629296618
RCR10443	-16.94481591819192	-12.53333333333444
RCR10444	12.533333333332052	16.9448159181876
RCR10468	2.419999999999277	4.271832170193108
RCR10475	-0.7666666666667652	-0.5400000000000773
RCR10480	0.3	0.5800000000004316
RCR10483	0.2	0.38666666666690436
RCR10484	1.2	1.480000000000165
RCR10485	1.3000000000000107	2.1400000000005766
RCR10490	4.980000000000015	5.820000000000348
RCR10503	-6.359999999999482	-5.519999999999795
RCR10506	12.480000000000151	14.160000000000085
RCR10549	-1.0659303864913896	-0.8796070983941618
RCR10606	2.9711458575060927	12.933333333333573
RCR10608	0.8796070983941694	1.065930386491423
RCR11017	90.0	100.0
RCR11027	12.533333333332056	16.94481591819229
RCR11070	0.0	1.0200000000485918
RCR11087	-5.95084762930162	2.376054908381775e-11
RCR11103	-6.777926367276844	-5.013333333333198
RCR11104	-10.166889550914902	-7.519999999999754
RCR11109	2.4999999999998295	2.780000000000042
RCR11122	-1.8400000000019368	-1.0000000000000497
RCR11127	-3.628569735026702	-1.0
RCR11129	2.000000000000166	2.840000000000343
RCR11130	2.0000000000001914	2.8400000000003427
RCR11131	-2.8400000000012824	-2.0000000000001137
RCR11132	2.0000000000001137	2.840000000000373
RCR11151	3.0000000000000364	3.9333333333336293
RCR11152	1.0	1.4200000000001323
RCR11154	-5.820000000000903	-4.9799999999999995
RCR11155	1.0	1.8400000000001926
RCR11156	0.9999999999999999	1.2800000000000091
RCR11158	2.499999999999753	2.7800000000001934
RCR11166	0.2266666666656224	0.8800000000000079
RCR11169	-5.820000000001999	-4.980000000000087
RCR11170	-0.5800000000007829	-0.3
RCR11172	1.3000000000000682	2.1400000000001
RCR11204	-2.7800000000007885	-2.4999999999999565
RCR11220	0.2	0.38666666666668315
RCR11221	0.19999999999996887	0.3866666667015765
RCR11240	1.9999999999796563	2.839999999999097
RCR11319	5.299999999985011	6.979999999997655
RCR11320	-6.980000000550149	-5.300000000000864
RCR11487	0.8796070983942172	1.0659303864913454
RCR11645	9.579999999999822	10.00000000000009
RCR11646	9.579999999999822	10.00000000000009
RCR11660	-13.3190131445009	-7.457812524183737
RCR11661	-13.3190131445009	-7.457812524183737
RCR11663	14.457812524174615	20.134656044913733
RCR11665	204.30282641568328	246.50500580983635
RCR11671	14.457812524174074	20.13465604491373
RCR12360	-10.0	-0.9711458575212646
RCR12401	0.9711458575034183	10.00000000000014
RCR13805	1.3000000000001137	2.139999999999596
RCR13810	-4.973920798282097	-2.859607098393622
RCR14182	5.0133333333323975	6.777926367275024
RCR14186	-6.77792636727645	-5.013333333332412
RCR14216	-3.388963183638225	-2.506666666666206
RCR14217	5.013333333332606	6.777926367275547
RCR14218	-3.3889631836384524	-2.5066666666664332
RCR14219	2.506666666666206	3.388963183637543
RCR14223	2.000000000000029	2.840000000000767
RCR14227	5.52000000000487	6.359999999999104
RCR14228	2.0000000000001408	2.840000000000011
RCR14230	2.0000000000002274	2.8400000000001455
RCR14232	-0.7666666667322488	-0.5400000000000773
RCR14247	2.0000000000002327	2.840000000000011
RCR14248	2.0000000000002327	2.840000000000011
RCR14249	-2.8400000002671786	-2.000000000000085
RCR14255	1.000000000000302	1.279999999999975
RCR14258	-5.820000000000549	-4.980000000000644
RCR14263	2.000000000000085	2.839999999999571
RCR14266	1.0	1.6666666666662628
RCR14283	0.999999999999819	1.4199999999997823
RCR14284	-1.4200000000001864	-0.9999999999998863
RCR14481	-20.13465604491398	-14.457812524180781
RCR20005	160.30468105757473	197.88741184923606
RCR20011	-42.177936724018046	-34.71108578985062
RCR20025	32.840889339043194	40.09550707389502
RCR20069	-6.980000000000876	-5.300000000000077
RCR20085	145.342471495988	178.166553756674
RCR20090	0.9999999999999999	1.4199999999998312
RCR20136	0.0	3.980000000002039
RCR20137	5.300000000000341	6.979999999999828
RCR20169	5.979999999999222	6.999999999999318
RCR20171	-4.980000000537171	-2.4599999997845687
RCR20257	-1.0659303864914718	-0.8796070983941259
RCR20270	161.3046810576092	198.88741184920917
RCR20274	1.0000000000011942	1.4200000000002484
RCR20384	0.9711458575228169	10.00000000000008
RCR20562	5.300000000000101	6.980000000001213
RCR20575	189.34061685276265	226.78414771726125
RCR20598	0.0	5.95084762930075
RCR21045	4.979999999999959	5.820000000000559
RCR21046	31.961282240648387	39.02965507285148
RCR21047	63.922564481295005	78.05931014570297
RCR21048	43.9803549197071	53.296519324563974
RCR30005	1.0	1.8400000000005061
RCR30008	21.9914786914469	35.34060661544413
RCR30011	-50.09550707389337	-42.84088933904104
RCR30013	1.0	1.8400000000005052
RCR30014	1.0	1.4200000000002526
RCR30024	1.0	5.892870598014935
RCR30032	-10.0	-0.9711458575045437
RCR30033	1.0	2.0200000000011604
RCR30070	1.0	1.8400000000005066
RCR30077	-4.176165756249098	-1.5399999999998941
RCR30096	0.0	0.8400000000004866
RCR30099	9.580000000172014	10.000000000365375
RCR30115	31.56606669339475	38.583538294857114
RCR30116	0.17999999999576616	2.700000000056016
RCR30188	1.0	1.4200000000001165
RCR30263	9.579999999999805	10.0
RCR30264	9.579999999999805	10.0
RCR30268	1.7592141967891166	2.1318607729783707
RCR30285	1.7592141967874453	2.131860772978396
RCR30325	1.7592141967874457	2.131860772978396
RCR30500	0.4799999999984345	0.7600000000010215
RCR30533	-2.1733333333321685	-1.5199999999997398
RCR30536	-10.0	-6.576068649043422
RCR40013	44.230692888229214	57.99182181816195
RCR40014	-50.09550707389326	-42.84088933904059
RCR40020	1.0000000000005684	2.0200000000008913
RCR40028	8.971145857505235	18.0
RCR40037	-9.000000000000082	0.028854142493356938
RCR40066	7.159999999999249	8.000000000000002
RCR40067	1.0000000000000002	1.8400000000002763
RCR40070	1.0	1.4200000000001383
RCR40107	33.45116808395027	40.675857632632216
RCR40111	7.300000000001731	9.820000000001102
RCR40437	-0.7599999999983993	-0.47999999999865395
RCR40438	0.9999999999999436	1.8400000000000039
RCR40450	-4.176165756249167	-1.5400000000001346
RCR40459	1.0	1.2800000000000145
RCR40465	1.0	1.8400000000002361
RCR40466	1.0	1.4200000000000161
RCR40467	1.0000000000008158	3.6285697350249517
RCR40468	0.23999999999882393	1.3600000000000099
RCR40995	1.0000000000002274	1.4200000000003001
RCR41020	8.159999999998828	8.9999999999999
RCR41023	1.7592141967907633	2.1318607729834285
RCR41024	2.719999999999433	3.360261934402796
RCR41027	5.439999999998866	6.720523868805592
RCR41087	-1.4200000000008488	-1.0
RCR41464	1.0	5.89287059801336
RCR41465	3.9938515630978455	8.99999999999994
RCR41476	0.0	1.0644060405248859
RCR41524	1.0	1.2799999999999012
RCR41592	0.0	0.8399999999997033
RCR90191	9.579999999999222	10.00000000000009
RCR30125	-0.7600000000004743	-0.4799999999991186
RCR30053	-10.0	-9.580000000000306
RCR30002	1.0	3.628569735022853
RCR30054	1.0	1.8399999999997005
RCR30086	1.0	1.2799999999998666
RCR30131	1.0	1.8399999999996062
RCR30238	1.0	1.4199999999998012
RCR30410	1.0	1.2799999999998666
RCR90192	1.0	1.933333333332911
RCR90193	1.0	1.6666666666663579
