reaction	linear_coefficient
RCR11116	0.00011914705146008953
RCR10001	7.17505499698594e-05
RCR10004	7.17505499698594e-05
RCR10296	7.17505499698594e-05
RCR11203	0.07921331980558735
RCR10130	0.07921331980558735
RCR14213	0.0004157462136441143
RCR11020	0.0004157462136441143
RCR10119	0.0004157462136441143
RCR14211	0.0004157462136441143
RCR11091	0.0004157462136441143
RCR11090	0.0004157462136441143
RCR10460	0.0004157462136441143
RCR10002	0.0004157462136441143
RCR11021	0.0004157462136441143
RCR10005	0.0001168021974216648
RCR10006	0.00023464870872755836
RCR10009	0.0003941514020468429
RCR10094	0.0020147634612455076
RCR10010	0.0020147634612455076
RCR10093	0.0020147634612455076
RCR10104	0.004376796464082783
RCR10011	1.0
RCR10012	0.0007204019412618398
RCR10013	0.00019650148172698151
RCR10562	0.00019650148172698151
RCR10014	0.0004240730251261131
RCR10017	0.0005590107647297883
RCR10297	0.000385500233604433
RCR10238	0.000385500233604433
RCR10137	0.000385500233604433
RCR10018	0.000385500233604433
RCR10136	0.000385500233604433
RCR11166	0.000385500233604433
RCR10239	0.000385500233604433
RCR11204	0.000385500233604433
RCR10299	0.000385500233604433
RCR11205	0.000385500233604433
RCR10088	0.000385500233604433
RCR10102	0.000385500233604433
RCR10115	0.000385500233604433
RCR10027	0.000385500233604433
RCR10300	0.000385500233604433
RCR10114	0.000385500233604433
RCR11207	0.000385500233604433
RCR10131	0.000385500233604433
RCR11220	0.000385500233604433
RCR11223	0.000385500233604433
RCR14268	0.000385500233604433
RCR10113	0.000385500233604433
RCR10109	0.000385500233604433
RCR10112	0.000385500233604433
RCR11221	0.000385500233604433
RCR10117	0.000385500233604433
RCR11206	0.000385500233604433
RCR11222	0.000385500233604433
RCR10135	0.000385500233604433
RCR11224	0.000385500233604433
RCR10132	0.000385500233604433
RCR11226	0.000385500233604433
RCR14274	0.000385500233604433
RCR10234	0.000385500233604433
RCR11227	0.000385500233604433
RCR11228	0.000385500233604433
RCR11229	0.000385500233604433
RCR14275	0.000385500233604433
RCR11230	0.000385500233604433
RCR11231	0.000385500233604433
RCR10129	0.000385500233604433
RCR10019	0.0030900039374676205
RCR10020	0.002288968731065397
RCR14194	0.0012106648293174957
RCR10021	0.0012106648293174957
RCR11710	0.00021728000670329274
RCR11766	0.00021728000670329274
RCR11767	0.00021728000670329274
RCR10050	0.00021728000670329274
RCR11768	0.00021728000670329274
RCR11712	0.00021728000670329274
RCR11769	0.00021728000670329274
RCR11714	0.00021728000670329274
RCR10034	0.00021728000670329274
RCR11770	0.00021728000670329274
RCR11771	0.00021728000670329274
RCR11715	0.00021728000670329274
RCR11772	0.00021728000670329274
RCR11717	0.00021728000670329274
RCR11716	0.00021728000670329274
RCR10040	0.00021728000670329274
RCR10045	0.00021728000670329274
RCR11718	0.00021728000670329274
RCR10029	0.00021728000670329274
RCR11721	0.00021728000670329274
RCR11724	0.00021728000670329274
RCR11688	0.00021728000670329274
RCR11689	0.00021728000670329274
RCR10046	0.00021728000670329274
RCR10051	0.00021728000670329274
RCR11719	0.00021728000670329274
RCR11691	0.00021728000670329274
RCR10030	0.00021728000670329274
RCR10035	0.00021728000670329274
RCR11690	0.00021728000670329274
RCR11720	0.00021728000670329274
RCR11752	0.00021728000670329274
RCR10022	0.00021728000670329274
RCR11692	0.00021728000670329274
RCR11722	0.00021728000670329274
RCR11693	0.00021728000670329274
RCR11723	0.00021728000670329274
RCR10052	0.00021728000670329274
RCR11725	0.00021728000670329274
RCR12221	0.00021728000670329274
RCR10041	0.00021728000670329274
RCR11694	0.00021728000670329274
RCR11726	0.00021728000670329274
RCR12223	0.00021728000670329274
RCR11727	0.00021728000670329274
RCR10036	0.00021728000670329274
RCR11695	0.00021728000670329274
RCR11728	0.00021728000670329274
RCR10025	0.00021728000670329274
RCR11729	0.00021728000670329274
RCR11730	0.00021728000670329274
RCR11696	0.00021728000670329274
RCR11731	0.00021728000670329274
RCR11732	0.00021728000670329274
RCR11697	0.00021728000670329274
RCR11733	0.00021728000670329274
RCR10042	0.00021728000670329274
RCR11698	0.00021728000670329274
RCR11734	0.00021728000670329274
RCR10047	0.00021728000670329274
