EntrezID	logfc	pval	fdr	ave
266601	0.16541632473119	0.00253036481013243	0.00480079904141148	2883.63061583803
266603	-1.11079728072943	0.000756923495174751	0.00156081957335978	41.1879817216428
266605	-0.179534579669745	0.013978499700001	0.0233466932102151	391.760408895902
266606	0.317507108529603	1.37980943165584e-06	4.06266365938076e-06	538.672759569435
266608	-0.137725585076085	0.40343155776416	0.475507085182206	110.677665401275
266609	0.186749101052078	0.00037063883329658	0.000799033858657743	941.414364475713
266610	-0.548227961493648	2.07757742689155e-08	7.47701826681e-08	429.461402745435
266611	-0.322889386961437	2.85809753509336e-06	8.09524471577801e-06	828.328277887111
266612	0.613265218335145	0.264094660666613	0.33018071397147	11.9482557493884
266631	-0.122078870169848	0.0637682875551246	0.0935285354305436	514.046434125052
266668	0.420498937608794	5.49436602476403e-11	2.59708495248907e-10	3878.98464955189
266670	-0.29514210281906	0.021813840910979	0.0351504252234708	110.366973889289
266674	-0.387878114448796	0.389089129784294	0.460877610065974	17.0675889002079
266681	-0.847304419705993	0.0883705238500418	0.125123514360688	5.66305439218322
266684	-1.31099094129498	0.00282752594550385	0.00532433854455466	4.63743599501663
266685	0.427657862653014	0.0621378292493963	0.0912843410614429	30.2335142009297
266686	0.0801705582353626	0.147779990345698	0.198302598145979	988.499435742715
266687	0.720587010423467	3.0860631170426e-22	4.08314205503982e-21	781.32777223584
266688	-0.140919670593829	0.0335041618108438	0.0519905715955881	780.531995300833
266689	0.135752602949442	0.109950617516078	0.152387514268069	324.0758842324
266706	-0.446702729862884	7.4448965510283e-15	5.15230738961797e-14	612.481431902798
266709	-0.315623648502239	1.85649303648041e-05	4.74607406515648e-05	2302.09599044316
266711	-0.547587776815149	3.35764561128743e-07	1.06930359358156e-06	216.9721495362
266712	0.864525800688469	2.45542282113811e-47	1.90086296483213e-45	1174.87736340139
266713	-0.0593004481897383	0.41926921864577	0.490955244187854	392.839858994901
266714	-2.12773834648923	6.27655664425145e-22	8.10550181015401e-21	43.0854188726262
266715	0.105177010748741	0.268241314738651	0.334617647613467	248.410359517851
266716	-0.195957683992776	0.0213428047050151	0.0344639054340164	273.700839471576
266729	0.223138020595837	0.673452655309249	0.727845431549961	7.73241381335416
266730	0.386315366219338	0.249150763629148	0.313815682722511	12.882197006342
266732	0.119826778362972	0.134471069245991	0.182208709599225	690.797421852364
266733	-1.23522798868733	0.0291410752446821	0.0457962648862005	4.94164032777681
266735	0.808635118371976	0.139672601532456	0.188535989863047	6.48535006401032
266758	0.118742891037104	0.128587265011686	0.175115472534862	885.355917892608
266759	0.263121859375889	1.26184808381759e-05	3.29061763337773e-05	6427.3293790269
266760	-0.962636807084934	0.0174683065414004	0.0286945523028828	12.4081563510085
266761	-0.223272902433076	0.000870857270855887	0.00178162169244259	278.310344598585
266762	-0.626624976305467	2.99894185416054e-05	7.44753519683459e-05	106.784789508995
