reaction	linear_coefficient
RCR11203	2.3673572668451404e-06
RCR10004	0.0055014570931592385
RCR10130	2.3673572668451404e-06
RCR10001	0.0055014570931592385
RCR11116	0.0018836121156282676
RCR10296	0.0055014570931592385
RCR14213	0.0012266123965127514
RCR11091	0.0012266123965127514
RCR10119	0.0012266123965127514
RCR10002	0.0012266123965127514
RCR11020	0.0012266123965127514
RCR14211	0.0012266123965127514
RCR11021	0.0012266123965127514
RCR11090	0.0012266123965127514
RCR10460	0.0012266123965127514
RCR10005	0.0021204366020425173
RCR10006	0.0011292372397250711
RCR10009	0.001133708503761118
RCR10010	0.00029620727827494225
RCR10094	0.00029620727827494225
RCR10104	7.900069481017753e-05
RCR10093	0.00029620727827494225
RCR10011	1.6159571958311959e-06
RCR10012	0.001155883255888115
RCR10013	0.0025007779395105345
RCR10562	0.0025007779395105345
RCR10014	0.0010303274167807342
RCR10017	0.0010081277330422347
RCR10239	0.0015164608454078495
RCR10027	0.0015164608454078495
RCR10299	0.0015164608454078495
RCR10112	0.0015164608454078495
RCR10117	0.0015164608454078495
RCR10088	0.0015164608454078495
RCR10102	0.0015164608454078495
RCR10115	0.0015164608454078495
RCR10300	0.0015164608454078495
RCR10132	0.0015164608454078495
RCR11166	0.0015164608454078495
RCR10131	0.0015164608454078495
RCR11204	0.0015164608454078495
RCR11205	0.0015164608454078495
RCR11207	0.0015164608454078495
RCR10113	0.0015164608454078495
RCR10109	0.0015164608454078495
RCR10135	0.0015164608454078495
RCR11220	0.0015164608454078495
RCR11223	0.0015164608454078495
RCR14268	0.0015164608454078495
RCR11221	0.0015164608454078495
RCR11206	0.0015164608454078495
RCR11222	0.0015164608454078495
RCR11224	0.0015164608454078495
RCR10136	0.0015164608454078495
RCR11226	0.0015164608454078495
RCR14274	0.0015164608454078495
RCR11227	0.0015164608454078495
RCR10129	0.0015164608454078495
RCR11228	0.0015164608454078495
RCR11229	0.0015164608454078495
RCR14275	0.0015164608454078495
RCR11230	0.0015164608454078495
RCR11231	0.0015164608454078495
RCR10114	0.0015164608454078495
RCR10018	0.0015164608454078495
RCR10297	0.0015164608454078495
RCR10234	0.0015164608454078495
RCR10238	0.0015164608454078495
RCR10137	0.0015164608454078495
RCR10019	0.00020742562133337105
RCR10020	0.0002524362180215545
RCR10021	0.0002966549040986479
RCR14194	0.0002966549040986479
RCR11715	0.005102400756960994
RCR11771	0.005102400756960994
RCR10051	0.005102400756960994
RCR11772	0.005102400756960994
RCR11717	0.005102400756960994
RCR11716	0.005102400756960994
RCR11718	0.005102400756960994
RCR10030	0.005102400756960994
RCR10041	0.005102400756960994
RCR11721	0.005102400756960994
RCR10035	0.005102400756960994
RCR10046	0.005102400756960994
RCR11724	0.005102400756960994
RCR11688	0.005102400756960994
RCR11689	0.005102400756960994
RCR11719	0.005102400756960994
RCR11691	0.005102400756960994
RCR11690	0.005102400756960994
RCR11720	0.005102400756960994
RCR10036	0.005102400756960994
RCR10047	0.005102400756960994
RCR11752	0.005102400756960994
RCR10025	0.005102400756960994
RCR11692	0.005102400756960994
RCR12221	0.005102400756960994
RCR10052	0.005102400756960994
RCR11722	0.005102400756960994
RCR12223	0.005102400756960994
RCR11693	0.005102400756960994
RCR11723	0.005102400756960994
RCR10040	0.005102400756960994
RCR11725	0.005102400756960994
RCR11694	0.005102400756960994
RCR11726	0.005102400756960994
RCR11727	0.005102400756960994
RCR11769	0.005102400756960994
RCR11695	0.005102400756960994
RCR11728	0.005102400756960994
RCR11729	0.005102400756960994
RCR10037	0.005102400756960994
RCR11696	0.005102400756960994
RCR10053	0.005102400756960994
RCR11730	0.005102400756960994
RCR10031	0.005102400756960994
RCR10042	0.005102400756960994
RCR11731	0.005102400756960994
RCR11697	0.005102400756960994
RCR11732	0.005102400756960994
RCR11733	0.005102400756960994
RCR11698	0.005102400756960994
RCR11734	0.005102400756960994
RCR11735	0.005102400756960994
RCR11699	0.005102400756960994
RCR11736	0.005102400756960994
RCR11737	0.005102400756960994
RCR11700	0.005102400756960994
RCR11738	0.005102400756960994
RCR10032	0.005102400756960994
RCR10043	0.005102400756960994
RCR11739	0.005102400756960994
RCR11701	0.005102400756960994
RCR10048	0.005102400756960994
RCR11740	0.005102400756960994
RCR11741	0.005102400756960994
RCR11702	0.005102400756960994
RCR11742	0.005102400756960994
RCR11743	0.005102400756960994
RCR11706	0.005102400756960994
RCR11744	0.005102400756960994
RCR11745	0.005102400756960994
RCR11703	0.005102400756960994
RCR11746	0.005102400756960994
RCR12243	0.005102400756960994
RCR11747	0.005102400756960994
RCR11711	0.005102400756960994
RCR10049	0.005102400756960994
RCR11748	0.005102400756960994
RCR12245	0.005102400756960994
RCR10038	0.005102400756960994
RCR10054	0.005102400756960994
RCR11749	0.005102400756960994
RCR11750	0.005102400756960994
RCR11751	0.005102400756960994
RCR11704	0.005102400756960994
RCR11753	0.005102400756960994
RCR11754	0.005102400756960994
RCR11757	0.005102400756960994
RCR11705	0.005102400756960994
RCR11756	0.005102400756960994
RCR10039	0.005102400756960994
RCR10055	0.005102400756960994
RCR10033	0.005102400756960994
RCR10044	0.005102400756960994
RCR11707	0.005102400756960994
RCR11755	0.005102400756960994
